id;num_voie;indice_repet;type_voie;voie;id_commune;code_postal;type_local;surface;nb_pieces
9478;1;;RUE;JOSEPH SOUTEYRAT;1224;42490;Appartement;99;4
9479;7;;RUE;COURBON BRIOUDE;1210;42700;Appartement;85;4
9480;34;;RUE;PROFESSEUR CALMETTE;1210;42700;Appartement;79;3
9481;38;;RUE;DE LA VERDIERE;1232;42600;Appartement;62;3
9482;2;;CHE;DES GREFFIERS;1233;42680;Maison;93;4
9483;33;;RUE;DU TREYVE;1234;42160;Appartement;66;3
9484;16;;PL;DU FOREZ;1234;42160;Appartement;37;1
9485;14;;RUE;DE LA PAIX;1234;42160;Appartement;55;2
9486;2;;RUE;JULES FERRIER;1235;42140;Appartement;148;4
9487;35;;RUE;DE SAINT GALMIER;1235;42140;Appartement;80;5
9488;8;;ALL;DES PRUNUS;1236;42130;Maison;95;6
9489;8;;RUE;NOTRE DAME;1237;42600;Appartement;28;2
9490;9004;;RUE;MOLIERE;1234;42160;Appartement;66;3
9491;11;;RUE;DE LYON;1236;42130;Appartement;81;3
9492;58;;RUE;DE LA REPUBLIQUE;1237;42600;Appartement;76;4
9493;9014;;RUE;ARISTIDE BRIAND;1234;42160;Appartement;50;2
9494;37;;RUE;DES VERNES;1238;42340;Maison;100;4
9495;46;;RUE;DE LA REPUBLIQUE;1237;42600;Appartement;52;2
9496;630;;RTE;DE SAINT ETIENNE;1239;42210;Appartement;70;1
9497;16;;RUE;JEANNE D ARC;1240;42170;Appartement;50;2
9498;285;;AV;DU PONT;1239;42210;Appartement;34;2
9499;1;B;MTE;FAROUJAT;1241;42330;Appartement;66;3
9500;122;;RUE;DE LA FONFORT;1237;42600;Appartement;55;2
9501;1;;RUE;EMILE REYMOND;1234;42160;Appartement;107;4
9502;36;;RUE;DU HUIT MAI;1242;42110;Appartement;42;2
9503;38;;RUE;DE LA VERDIERE;1232;42600;Appartement;54;3
9504;4;;RUE;DU HUIT MAI;1240;42170;Appartement;45;2
9505;2;A;PL;JEAN MICHALON;1243;42610;Appartement;72;3
9506;27;B;RUE;CLAUDE PROTIERE;1235;42140;Maison;95;4
9507;12;;RUE;DES JARDINS;1237;42600;Maison;96;4
9508;13;;ALL;DE CHARLIEU;1237;42600;Appartement;59;2
9509;2;;RUE;GREGOIRE GRANGE;1240;42170;Appartement;67;3
9510;1;A;RUE;DE MONTORCIER;1244;42380;Appartement;37;1
9511;9004;;RUE;MOLIERE;1234;42160;Appartement;79;4
9512;26;;CHE;DES BULIEUX;1234;42160;Appartement;67;3
9513;16;;RUE;DE VERDUN;1242;42110;Appartement;46;1
9514;4;;RUE;DES LEGOUVE;1237;42600;Appartement;45;1
9515;5068;;;LE BOURG;1245;42560;Appartement;62;3
9516;9004;;RUE;MOLIERE;1234;42160;Appartement;54;2
9517;4;;CHE;DES CRAZATS;1234;42160;Appartement;90;4
9518;8;;BD;DE LA MADELEINE;1237;42600;Appartement;109;4
9519;8;;AV;DU ONZE NOVEMBRE;1235;42140;Maison;97;5
9520;18;;RUE;DE L HOPITAL;1235;42140;Appartement;65;3
9521;11;;;LA CITE SAINT-LAURENT;1238;42340;Appartement;81;3
9522;8;;RUE;NOTRE DAME;1237;42600;Appartement;24;1
9523;5030;;RUE;DES VERNES;1238;42340;Maison;90;4
9524;1;;RUE;DES CARRIERES;1237;42600;Appartement;112;4
9525;7;;RUE;DU PARC;1237;42600;Appartement;70;3
9526;9004;;RUE;MOLIERE;1234;42160;Appartement;82;4
9527;18;;BD;DE LA MADELEINE;1237;42600;Appartement;73;4
9528;2;;RUE;JULES FERRIER;1235;42140;Appartement;176;5
9529;290;;;LES TRAVERSES;1246;42920;Maison;41;2
9530;125;;RTE;D'AZIEUX;1247;42600;Appartement;55;2
9531;15;;RUE;VICTOR DE LAPRADE;1237;42600;Appartement;68;3
9532;48;;CHE;DES VARENNES;1240;42170;Appartement;104;4
9533;46;;BD;DE LA BOISSONNETTE;1242;42110;Maison;84;4
9534;12;;BD;LACHEZE;1237;42600;Appartement;92;2
9535;2;;RUE;PARADIS;1240;42170;Appartement;95;4
9536;34;;PL;DES PROMENADES POPULLE;1248;42300;Appartement;30;1
9537;111;;RUE;DES URSULINES;1249;42190;Appartement;74;4
9538;85;B;RUE;JOANNY AUGE;1248;42300;Appartement;77;3
9539;115;;RUE;DU MOULIN A VENT PROLONGE;1250;42300;Appartement;70;4
9540;5220;B;PL;DU CENTRE;1251;42430;Maison;80;5
9541;12;;RUE;BERCHOUX;1248;42300;Appartement;42;2
9542;91;;BD;JEAN BAPTISTE CLEMENT;1248;42300;Appartement;121;6
9543;17;;AV;GALLIENI;1252;42153;Appartement;78;4
9544;10;;RUE;DES ECOLIERS;1248;42300;Appartement;59;2
9545;47;;AV;DE BEAUSEJOUR;1248;42300;Maison;139;4
9546;99;;RUE;SAINT ALBAN;1248;42300;Appartement;88;4
9547;27;;RUE;ROGER CRIVELLI;1248;42300;Appartement;49;2
9548;85;;ALL;DES SAPINS;1252;42153;Appartement;41;2
9549;16;;RUE;DE L EGLISE;1253;42590;Appartement;95;3
9550;9001;;;RES EDGAR QUINET;1248;42300;Appartement;62;4
9551;43;;RUE;DU PRESIDENT WILSON;1248;42300;Appartement;63;4
9552;12;;IMP;REYNAUD MATOUT;1254;42120;Appartement;40;2
9553;37;;RUE;DES AQUEDUCS;1248;42300;Appartement;24;2
9554;10;;PL;MARGUERITE GONON;1255;42300;Appartement;107;4
9555;56;;RUE;JEAN JAURES;1248;42300;Appartement;25;1
9556;3;;RUE;PASTEUR;1256;42510;Appartement;93;3
9557;22;;RUE;PASTEUR;1248;42300;Appartement;108;4
9558;92;;AV;DE PARIS;1248;42300;Appartement;70;3
9559;2;;RUE;DENFERT ROCHEREAU;1249;42190;Appartement;106;4
9560;33;;RUE;DU HUIT MAI;1256;42510;Appartement;30;1
9561;4;;BD;DES ETINES;1254;42120;Appartement;63;3
9562;34;;PL;DES PROMENADES POPULLE;1248;42300;Appartement;52;2
9563;1507;;CHE;TREVE RAISIN;1257;42120;Appartement;64;2
9564;50;;AV;DE LA LIBERATION;1254;42120;Appartement;67;2
9565;11;;RUE;BROSSARD;1254;42120;Appartement;29;1
9566;25;;QUAI;DE L ILE;1248;42300;Appartement;59;2
9567;2;;RUE;GEORGES CLEMENCEAU;1254;42120;Appartement;40;2
9568;46;;RUE;VICTOR HUGO;1255;42300;Appartement;71;3
9569;25;;RUE;DORIAN;1249;42190;Appartement;70;3
9570;84;;RUE;MARECHAL FOCH;1248;42300;Appartement;62;3
9571;28;;BD;EDGAR QUINET;1248;42300;Appartement;41;2
9572;16;;RUE;JEAN MERMOZ;1248;42300;Appartement;52;2
9573;30;;RUE;CUVIER;1248;42300;Appartement;58;3
9574;135;;AV;DE PARIS;1248;42300;Appartement;60;3
9575;14;;PL;DES TUILIERS;1258;42720;Appartement;76;3
9576;24;;AV;DE LA LIBERATION;1254;42120;Appartement;43;2
9577;25;;RUE;DU MAYOLLET;1248;42300;Appartement;53;3
9578;1;;IMP;RONSARD;1254;42120;Maison;58;4
9579;125;;BD;BARON DU MARAIS;1248;42300;Appartement;98;4
9580;6;;BD;DES ETINES;1254;42120;Appartement;18;1
9581;41;;RUE;DU PRESIDENT WILSON;1248;42300;Appartement;53;3
9582;92;;RUE;ALBERT THOMAS;1248;42300;Appartement;58;2
9583;56;;AV;DE LA LIBERATION;1254;42120;Appartement;38;2
9584;16;;RUE;ALSACE LORRAINE;1248;42300;Appartement;155;5
9585;405;;RUE;MARGUERITE YOURCENAR;1252;42153;Appartement;53;3
9586;66;;RUE;DU HUIT MAI 1945;1252;42153;Maison;55;3
9587;2;;RUE;AUGUSTE GELIN;1254;42120;Appartement;45;3
9588;45;;RUE;BRANLY;1248;42300;Appartement;54;2
9589;31;;AV;PARMENTIER;1254;42120;Appartement;37;2
9590;53;;RUE;MULSANT;1248;42300;Appartement;90;4
9591;9;;ALL;DE BEAUSEJOUR;1248;42300;Maison;98;5
9592;50;;RUE;BRISON;1248;42300;Appartement;26;1
9593;16;;RUE;ALSACE LORRAINE;1248;42300;Appartement;157;4
9594;5;;RUE;JOANNY AUGE;1248;42300;Appartement;43;3
9595;3;;RUE;CHARLES DE GAULLE;1248;42300;Appartement;40;1
9596;4;;RUE;ALSACE LORRAINE;1248;42300;Appartement;214;6
9597;10;;RUE;DU MOULIN POPULLE;1248;42300;Appartement;70;4
9598;30;;IMP;RASPAIL;1248;42300;Appartement;83;3
9599;4;B;RUE;PIERRE BROSSOLETTE;1248;42300;Appartement;70;3
9600;10;;RUE;DES ECOLIERS;1248;42300;Appartement;62;3
9601;34;;PL;DES PROMENADES POPULLE;1248;42300;Appartement;135;5
9602;25;;QUAI;DE L ILE;1248;42300;Appartement;58;3
9603;58;;RUE;JEAN JACQUES ROUSSEAU;1248;42300;Appartement;64;3
9604;2;;RUE;CLAUDE BERNARD;1248;42300;Appartement;35;1
9605;57;;RUE;CHARLES DE GAULLE;1248;42300;Appartement;38;2
9606;27;;RUE;ROGER CRIVELLI;1248;42300;Appartement;46;2
9607;16;;PL;DU MARCHE;1248;42300;Appartement;51;2
9608;8;;RUE;NICOLAS CUGNOT;1248;42300;Appartement;12;1
9609;58;;RUE;CHARLES DE GAULLE;1248;42300;Appartement;210;5
9610;27;;PL;DE LA BOUVERIE;1259;42370;Maison;134;4
9611;91;;ALL;DES ERABLES;1256;42510;Maison;120;5
9612;10;;BD;BARON DU MARAIS;1248;42300;Appartement;40;1
9613;39;;RUE;RABELAIS;1248;42300;Appartement;59;3
9614;1;;RUE;JEAN MOULIN;1254;42120;Appartement;88;4
9615;12;;RUE;JACQUARD;1248;42300;Appartement;55;2
9616;135;;RUE;CHANTOISEAU;1252;42153;Appartement;50;2
9617;42;;RUE;PIERRE DEPIERRE;1248;42300;Appartement;111;4
9618;15;;BD;EDGAR QUINET;1248;42300;Appartement;66;4
9619;1;;RUE;BAYARD;1248;42300;Appartement;49;2
9620;14;;RUE;DE LA PROVIDENCE;1254;42120;Appartement;61;3
9621;1746;;RUE;DE ST ROMAIN SABLES;1252;42153;Appartement;78;5
9622;54;;BD;BARON DU MARAIS;1248;42300;Appartement;53;2
9623;92;;RUE;ALBERT THOMAS;1248;42300;Appartement;68;4
9624;35;;RUE;GONTHIER;1248;42300;Appartement;54;3
9625;9;;RUE;DU MAYOLLET;1248;42300;Appartement;44;3
9626;33;;RUE;ST GILLES;1260;43000;Appartement;50;2
9627;25;;RTE;DU QUEYRAT;1261;43600;Maison;70;2
9628;3;;RUE;JEAN BAPTISTE FABRE;1260;43000;Appartement;70;3
9629;92;;AV;DE LA SEMENE;1262;43140;Appartement;65;3
9630;19;;RUE;DU 14 JUILLET;1263;43620;Appartement;70;2
9631;21;;RUE;DES MOULINS;1260;43000;Appartement;46;2
9632;92;;AV;DE LA SEMENE;1262;43140;Appartement;95;5
9633;41;;BD;CARNOT;1260;43000;Appartement;89;4
9634;3;;BD;CARNOT;1260;43000;Appartement;90;3
9635;25;;RTE;DU MAZET;1264;43400;Appartement;67;3
9636;25;;RUE;DU ONZE NOVEMBRE;1265;43300;Appartement;84;3
9637;27;;RTE;DU QUEYRAT;1261;43600;Maison;70;4
9638;32;;AV;DE MONDON;1266;43000;Maison;129;6
9639;28;;AV;MARECHAL FOCH;1260;43000;Appartement;57;3
9640;3;;RUE;DU REPOS;1267;43140;Appartement;104;4
9641;5;;AV;BAPTISTE MARCET;1260;43000;Appartement;67;3
9642;52;;AV;CHARLES DUPUY;1268;43700;Appartement;83;3
9643;20;;RUE;DE LA GAZELLE;1260;43000;Appartement;61;2
9644;13;;RUE;JEAN BARTHELEMY;1260;43000;Appartement;28;1
9645;26;;RUE;DE VIENNE;1260;43000;Appartement;88;5
9646;1;;RUE;DU ROND POINT;1269;43110;Appartement;66;3
9647;57;;AV;MARECHAL FOCH;1260;43000;Appartement;60;3
9648;5046;;;LE BOURG;1270;43200;Appartement;35;3
9649;5087;;RUE;DE COMBEVIGNOUSE;1271;43100;Appartement;48;4
9650;9096;;RUE;DES ACACIAS;1272;43330;Maison;85;4
9651;3;;RUE;FONTAINE DE GESTE;1273;43100;Appartement;62;3
9652;2;;AV;DE FIRMINY;1269;43110;Appartement;83;4
9653;4;;AV;PAUL BERARD;1266;43000;Appartement;71;3
9654;13;;AV;DES BELGES;1260;43000;Appartement;82;3
9655;16;;RUE;DE CRAPONNE;1260;43000;Appartement;15;1
